Département,Région,Ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,Nombre d'occurrences
Ain,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,1.96475,2.069,0.999,1.047,1.924,2.0252499999999998,4
Ain,Auvergne-Rhône-Alpes,Ambérieux-en-Dombes,1.99,,,,1.989,1.99,1
Ain,Auvergne-Rhône-Alpes,Arbent,1.9249999999999998,1.967,,0.969,1.89,2.08,2
Ain,Auvergne-Rhône-Alpes,Artemare,1.909,1.959,,,,1.979,1
Ain,Auvergne-Rhône-Alpes,Attignat,1.999,2.091,1.182,,,2.114,1
Ain,Auvergne-Rhône-Alpes,Balan,1.99,1.99,,,,1.99,1
Ain,Auvergne-Rhône-Alpes,Belley,1.9275,1.9975,,,,1.985,2
Ain,Auvergne-Rhône-Alpes,Beynost,1.877,1.877,0.973,0.99,1.835,1.925,1
Ain,Auvergne-Rhône-Alpes,Bourg-en-Bresse,1.9064285714285714,1.9148,0.9784999999999999,,1.8652000000000002,1.9628333333333332,7
Ain,Auvergne-Rhône-Alpes,Briord,1.939,,,,1.859,1.959,1
Ain,Auvergne-Rhône-Alpes,Bâgé-Dommartin,1.919,1.949,,,1.889,,1
Ain,Auvergne-Rhône-Alpes,Ceignes,2.0695,,1.239,1.0765,2.0595,2.1195,2
Ain,Auvergne-Rhône-Alpes,Ceyzériat,1.889,,1.055,,1.889,1.995,1
Ain,Auvergne-Rhône-Alpes,Chalamont,1.9945,1.9945,,,1.959,,2
Ain,Auvergne-Rhône-Alpes,Chazey-Bons,1.924,,,,1.889,1.975,1
Ain,Auvergne-Rhône-Alpes,Château-Gaillard,1.989,1.984,,,,,2
Ain,Auvergne-Rhône-Alpes,Châtillon-sur-Chalaronne,1.859,1.927,0.998,,1.817,1.961,4
Ain,Auvergne-Rhône-Alpes,Coligny,1.99,,,,,1.99,1
Ain,Auvergne-Rhône-Alpes,Confrançon,1.909,1.939,,,,2.019,1
Ain,Auvergne-Rhône-Alpes,Culoz,1.924,1.999,,,1.89,1.9860000000000002,2
Ain,Auvergne-Rhône-Alpes,Dagneux,2.05,,1.239,,2.041,2.101,2
Ain,Auvergne-Rhône-Alpes,Divonne-les-Bains,1.946,1.973,,,,1.999,1
Ain,Auvergne-Rhône-Alpes,Dortan,2.05,2.01,,,,2.06,1
Ain,Auvergne-Rhône-Alpes,Feillens,1.913,,0.998,,,,1
Ain,Auvergne-Rhône-Alpes,Ferney-Voltaire,1.901,1.9135,0.984,,1.834,1.98,2
Ain,Auvergne-Rhône-Alpes,Gex,1.9263333333333332,1.998,,,1.943,2.044,3
Ain,Auvergne-Rhône-Alpes,Jassans-Riottier,1.929,1.972,,,,1.99,1
Ain,Auvergne-Rhône-Alpes,Jasseron,2.062,,1.229,1.099,2.072,2.132,2
Ain,Auvergne-Rhône-Alpes,Jayat,1.879,,0.998,,1.817,1.923,1
Ain,Auvergne-Rhône-Alpes,La Boisse,1.99,,,,1.99,1.99,1
Ain,Auvergne-Rhône-Alpes,Lagnieu,1.946,,,,1.924,1.984,1
