Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6110 Le Cannet,1.987,,,,1.999,2.079,"43.571742369999996, 7.016243639999999"
Centre-Val de Loire,Indre,36100 Saint-Aoustrille,1.99,1.99,1.17,,,,"46.938, 1.947"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63120 Courpière,1.893,,0.998,,1.817,1.904,"45.762, 3.54"
Occitanie,Hautes-Pyrénées,65310 Laloubère,1.925,,,1.099,1.919,1.982,"43.206, 0.072"
Grand Est,Bas-Rhin,67260 Herbitzheim,1.979,1.899,,,,1.979,"49.009, 7.077"
Occitanie,Lot,46300 Gourdon,1.99,,,,1.99,1.99,"44.74, 1.391"
Grand Est,Aube,10800 Saint-Julien-les-Villas,1.949,1.959,,,1.929,1.989,"48.26766, 4.08884"
Centre-Val de Loire,Eure-et-Loir,28500 Vernouillet,,,,,,,"48.732, 1.341"
Grand Est,Marne,51000 Châlons-en-Champagne,1.934,,,,1.886,1.966,"48.955, 4.332"
Nouvelle-Aquitaine,Charente-Maritime,17220 Salles-sur-Mer,1.915,,,,1.879,1.923,"46.084, -1.074"
Auvergne-Rhône-Alpes,Rhône,69210 L'Arbresle,1.99,,1.119,,1.977,,"45.838, 4.611"
Île-de-France,Yvelines,78120 Rambouillet,1.923,1.872,,,1.83,1.906,"48.647, 1.856"
Hauts-de-France,Somme,80000 Amiens,1.899,,,,1.889,1.969,"49.894, 2.285"
Centre-Val de Loire,Loir-et-Cher,41350 Vineuil,1.959,1.979,,,1.917,1.992,"47.584, 1.375"
Nouvelle-Aquitaine,Haute-Vienne,87600 Rochechouart,2.06,2.1,,,,2.12,"45.835, 0.837"
Île-de-France,Essonne,91210 Draveil,,,,,,,"48.68361867030001, 2.43262571173"
Île-de-France,Essonne,91370 Verrières-le-Buisson,1.964,,0.994,,1.939,2.019,"48.753, 2.273"
Île-de-France,Seine-et-Marne,77190 Dammarie-les-Lys,1.945,,,,1.888,1.965,"48.518, 2.628"
Centre-Val de Loire,Loiret,45720 Coullons,1.949,,,,1.929,1.999,"47.615, 2.5"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5260 Chabottes,1.979,,,,1.979,1.99,"44.64668, 6.18157"
Grand Est,Bas-Rhin,67460 Souffelweyersheim,1.943,,,,1.896,,"48.629, 7.729"
Occitanie,Tarn-et-Garonne,82200 Moissac,1.909,1.939,0.998,,1.899,,"44.114084407834994, 1.1124635755837"
Normandie,Manche,50200 Coutances,1.939,,1.009,,1.889,1.985,"49.038, -1.446"
Île-de-France,Hauts-de-Seine,92400 Courbevoie,,,,,,,"48.896, 2.252"
Hauts-de-France,Nord,59215 Abscon,1.959,,,,1.919,1.985,"50.336, 3.303"
Hauts-de-France,Pas-de-Calais,62147 Hermies,1.933,,1.064,,1.923,1.98,"50.111, 3.038"
Occitanie,Aveyron,12330 Saint-Christophe-Vallon,1.931,,,,1.927,2.028,"44.469, 2.414"
Occitanie,Haute-Garonne,31370 Rieumes,1.899,1.969,,1.099,1.924,1.994,"43.414, 1.117"
Nouvelle-Aquitaine,Haute-Vienne,87700 Aixe-sur-Vienne,1.899,,1.029,,1.889,1.989,"45.798, 1.124"
Grand Est,Bas-Rhin,67260 Sarre-Union,1.905,1.94,,,,1.98,"48.94, 7.085"
Île-de-France,Paris,75016 Paris,1.973,,,,1.897,1.924,"48.847, 2.256"
